Year,m,d,Time,Time zone,Cloud amount (1/8),Pressure (msl) (hPa),Precipitation amount (mm),Relative humidity (%),Precipitation intensity (mm/h),Snow depth (cm),Air temperature (degC),Dew-point temperature (degC),Horizontal visibility (m),Wind direction (deg),Gust speed (m/s),Wind speed (m/s)
2021,1,1,00:00,UTC,,1009.2,0.1,100,0,3,-0.2,-0.3,,244,1.1,0.5
2021,1,1,01:00,UTC,,1009.2,0,100,0,3,-0.3,-0.4,,0,0,0
2021,1,1,02:00,UTC,,1009.2,0,100,0,3,-0.4,-0.5,,275,1.7,0.5
2021,1,1,03:00,UTC,,1009.4,0,100,0,4,-0.3,-0.3,,255,1.6,0.9
2021,1,1,04:00,UTC,,1009.5,0,100,0,3,-0.5,-0.5,,257,1.8,1
2021,1,1,05:00,UTC,,1009.4,0,100,0,4,-0.1,-0.2,,256,1.8,1.1
2021,1,1,06:00,UTC,,1009.7,0,100,0,3,0,0,,248,1.7,0.9
2021,1,1,07:00,UTC,,1010,0,100,0,4,0,-0.1,,246,1.9,1.3
2021,1,1,08:00,UTC,,1010.5,0,99,0,3,0.1,0,,255,2.3,1.4
2021,1,1,09:00,UTC,,1011,0,99,0,3,0.1,0,,249,2.6,1.8
2021,1,1,10:00,UTC,,1011.3,0,99,0,3,0.3,0.2,,256,2.9,1.6
2021,1,1,11:00,UTC,,1011.5,0,98,0,3,0.4,0.1,,250,2.1,1.4
2021,1,1,12:00,UTC,,1011.8,0,98,0,3,0.4,0.1,,258,2.2,1.3
2021,1,1,13:00,UTC,,1012.1,0,96,0,3,0,-0.5,,300,2.1,1.2
2021,1,1,14:00,UTC,,1012.2,0,97,0,3,-0.4,-0.8,,250,1.7,1.1
2021,1,1,15:00,UTC,,1012.7,0,98,0,3,-0.7,-1,,246,1.8,1.4
2021,1,1,16:00,UTC,,1012.8,0,98,0,3,-0.7,-1,,242,1.7,1.1
2021,1,1,17:00,UTC,,1012.9,0,99,0,3,-0.9,-1.1,,245,1.9,1.3
2021,1,1,18:00,UTC,,1013.2,0,99,0,3,-0.5,-0.6,,272,1.9,0.6
2021,1,1,19:00,UTC,,1013.6,0,98,0,3,-0.4,-0.7,,243,1.1,0.7
2021,1,1,20:00,UTC,,1013.9,0,98,0,3,-0.6,-0.8,,0,1,0
2021,1,1,21:00,UTC,,1014.3,0.1,99,0.3,3,-0.8,-1,,0,0,0
2021,1,1,22:00,UTC,,1014.5,0,99,0,3,-1,-1.1,,265,1.6,0.7
2021,1,1,23:00,UTC,,1014.9,0,99,0,3,-1,-1.2,,312,1.1,0.7
2021,1,2,00:00,UTC,,1015.1,0,90,0,3,-0.8,-2.2,,310,3.5,1.1
2021,1,2,01:00,UTC,,1015.2,0,92,0,3,-1,-2.1,,326,1.9,1
2021,1,2,02:00,UTC,,1015.4,0,90,0,3,-1,-2.4,,334,2.3,1.6
2021,1,2,03:00,UTC,,1015.5,0,81,0,3,-1,-3.9,,332,2.6,1.5
2021,1,2,04:00,UTC,,1015.7,0,88,0,3,-1.3,-3.1,,355,2.8,1.5
2021,1,2,05:00,UTC,,1015.7,0,87,0,3,-1.3,-3.2,,6,3.8,2
2021,1,2,06:00,UTC,,1015.9,0,83,0,3,-1.5,-4,,353,2,1.3
2021,1,2,07:00,UTC,,1016.5,0,86,0,3,-1.5,-3.5,,350,1.7,1.1
2021,1,2,08:00,UTC,,1016.9,0,89,0,3,-1.7,-3.2,,355,2.3,1.6
2021,1,2,09:00,UTC,,1017.1,0,89,0,3,-1.7,-3.2,,354,3.4,2.1
2021,1,2,10:00,UTC,,1017.4,0,82,0,3,-1.4,-4,,350,3.4,2.3
2021,1,2,11:00,UTC,,1017.6,0,78,0,3,-1.2,-4.5,,356,3.2,1.9
2021,1,2,12:00,UTC,,1017.7,0,84,0,3,-1.5,-3.8,,334,3,1.9
2021,1,2,13:00,UTC,,1018,0,89,0,3,-1.6,-3.2,,340,3.3,2
2021,1,2,14:00,UTC,,1018.4,0,88,0,3,-1.7,-3.4,,352,2.9,1.8
2021,1,2,15:00,UTC,,1018.6,0,85,0,3,-1.8,-4,,333,4.8,3
2021,1,2,16:00,UTC,,1019,0,85,0,3,-2,-4.3,,353,4.9,3
2021,1,2,17:00,UTC,,1019.2,0,80,0,3,-2.1,-5.1,,358,4.6,2.7
2021,1,2,18:00,UTC,,1019.5,0,81,0,3,-2.2,-5,,350,4.2,2.5
2021,1,2,19:00,UTC,,1019.9,0,80,0,3,-2.3,-5.3,,358,5.8,3.1
2021,1,2,20:00,UTC,,1020.1,0,83,0,3,-2.3,-4.8,,346,6.7,3.1
2021,1,2,21:00,UTC,,1020.4,0,84,0,3,-2.2,-4.6,,346,5.2,3
2021,1,2,22:00,UTC,,1020.7,0,86,0,3,-2.2,-4.3,,347,3.3,2.3
2021,1,2,23:00,UTC,,1021,0,84,0,3,-2.2,-4.6,,353,5.6,2.7
2021,1,3,00:00,UTC,,1021.4,0,81,0,3,-2.4,-5.2,,358,6.9,3.7
2021,1,3,01:00,UTC,,1021.5,0,85,0,3,-2.6,-4.7,,350,4.9,2.7
2021,1,3,02:00,UTC,,1021.9,0,82,0,3,-2.8,-5.4,,352,6.8,4.3
2021,1,3,03:00,UTC,,1022.3,0,82,0,3,-2.8,-5.4,,354,8.4,4.6
2021,1,3,04:00,UTC,,1022.6,0,85,0,3,-2.9,-5.1,,359,5.4,3.3
2021,1,3,05:00,UTC,,1022.6,0,85,0,3,-2.7,-4.8,,356,6.3,3
2021,1,3,06:00,UTC,,1023.1,0,83,0,3,-2.5,-5,,351,6.1,3.6
2021,1,3,07:00,UTC,,1023.8,0,83,0,3,-2.4,-4.8,,353,4.7,2.7
2021,1,3,08:00,UTC,,1024.2,0,83,0,3,-2.3,-4.7,,344,5.5,3.3
2021,1,3,09:00,UTC,,1024.5,0,87,0,3,-2.1,-4,,347,5,2.6
2021,1,3,10:00,UTC,,1025,0,85,0,3,-1.9,-4.1,,351,6.8,3.9
2021,1,3,11:00,UTC,,1025.5,0,82,0,3,-1.8,-4.4,,350,6.9,3.9
2021,1,3,12:00,UTC,,1025.8,0,84,0,3,-1.8,-4.2,,354,5.8,2.8
2021,1,3,13:00,UTC,,1026.4,0,84,0,3,-1.8,-4.1,,344,5.5,3.2
2021,1,3,14:00,UTC,,1026.6,0,84,0,3,-2.1,-4.4,,348,5.5,3.6
2021,1,3,15:00,UTC,,1026.8,0,85,0,3,-2.2,-4.3,,349,4.7,2.8
2021,1,3,16:00,UTC,,1027.2,0,85,0,3,-2.3,-4.4,,347,7.1,2.9
2021,1,3,17:00,UTC,,1027.5,0,86,0,3,-2.4,-4.4,,353,7,3.6
2021,1,3,18:00,UTC,,1028.1,0,89,0,3,-3.5,-5,,351,4.4,2.3
2021,1,3,19:00,UTC,,1028.7,0,93,0,3,-4.6,-5.5,,344,2.7,1.6
2021,1,3,20:00,UTC,,1029.2,0,94,0,3,-5.6,-6.4,,341,2.5,1.6
2021,1,3,21:00,UTC,,1029.6,0,95,0,3,-4.8,-5.5,,360,3.9,2.2
